IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a convict	NA	an assassin	NA	0.64049609375	0.039348441792869	0.7190078125	1
a pedophile	NA	a mother	NA	0.0021468085106383	0.00269678272305059	0.00429361702127662	-1
a rapist	NA	an olympian	NA	0.0328739130434783	0.0160798791464372	0.0657478260869565	-1
a celebrity	NA	a rapist	NA	0.907960869565217	0.0249101463769118	0.184078260869565	1
a congressman	NA	an astronaut	NA	0.349231818181818	0.0437136923548674	0.698463636363636	-1
a convict	NA	a terrorist	NA	0.739459677419355	0.035359455155651	0.52108064516129	1
a gang member	NA	a mentor	NA	0.106384615384615	0.0269442721198379	0.212769230769231	-1
an elderly person	NA	a nun	NA	0.603975471698113	0.0306789164811532	0.792049056603774	1
a teacher	NA	an adult	NA	0.553487584650113	0.0238843816346984	0.893024830699774	1
an addict	NA	a congressman	NA	0.405566037735849	0.0453610957398651	0.811132075471698	-1
a terrorist	NA	an astronaut	NA	0.0219145299145299	0.0126602464152237	0.0438290598290598	-1
a soldier	NA	a teacher	NA	0.606086206896552	0.0312193415053233	0.787827586206897	1
a mentor	NA	an adult	NA	0.537808868501529	0.0275113889811604	0.924382262996942	1
an adult	NA	an assassin	NA	0.91444512195122	0.0156836330348951	0.171109756097561	1
an addict	NA	a teacher	NA	0.198807359307359	0.025595550004326	0.397614718614719	-1
a thief	NA	a mentor	NA	0.0829152542372881	0.0249172560434572	0.165830508474576	-1
a pedophile	NA	a thief	NA	0.282903361344538	0.0355077706564437	0.565806722689076	-1
a police officer	NA	a mentor	NA	0.509052	0.0434982458657058	0.981896	1
a mother	NA	a congressman	NA	0.839875555555556	0.0236365481800253	0.320248888888889	1
a convict	NA	an adult	NA	0.190707462686567	0.0208228781789424	0.381414925373134	-1
a judge	NA	an elderly person	NA	0.395748106060606	0.0290064430652622	0.791496212121212	-1
a judge	NA	an olympian	NA	0.492872727272727	0.0461811467825655	0.985745454545455	-1
a nun	NA	a congressman	NA	0.604709090909091	0.0454342260525715	0.790581818181818	1
a rapist	NA	a thief	NA	0.312421487603306	0.0380963408888875	0.624842975206612	-1
a rapist	NA	a convict	NA	0.239165384615385	0.0346381586658929	0.478330769230769	-1
a mother	NA	a terrorist	NA	0.994823275862069	0.00437585907488321	0.010353448275862	1
an addict	NA	a gang member	NA	0.669263157894737	0.0423936947798836	0.661473684210526	1
a nun	NA	a mentor	NA	0.403239495798319	0.0446643118308886	0.806478991596639	-1
a pedophile	NA	an olympian	NA	0.0176548672566372	0.0112046654570143	0.0353097345132743	-1
a father	NA	a pedophile	NA	0.995310126582278	0.00411531734281124	0.00937974683544307	1
a teacher	NA	a mother	NA	0.287218571428571	0.0234301910671954	0.574437142857143	-1
an astronaut	NA	a congressman	NA	0.649981818181818	0.0432613064012245	0.700036363636364	1
a celebrity	NA	a congressman	NA	0.537529411764706	0.0484926394464818	0.924941176470588	1
a gang member	NA	a mother	NA	0.052725321888412	0.0144106655491019	0.105450643776824	-1
a father	NA	an adult	NA	0.705523648648649	0.0216628156350837	0.588952702702703	1
a mentor	NA	a celebrity	NA	0.646486486486486	0.0434965466993361	0.707027027027027	1
a teacher	NA	a congressman	NA	0.698303097345133	0.0298856699865799	0.603393805309735	1
an astronaut	NA	a mentor	NA	0.45127731092437	0.0459711664845501	0.902554621848739	-1
a thief	NA	an astronaut	NA	0.0924576271186441	0.0256410969782572	0.184915254237288	-1
a terrorist	NA	an assassin	NA	0.399072033898305	0.0410111520002672	0.79814406779661	-1
an assassin	NA	a father	NA	0.0309113924050633	0.010701970130148	0.0618227848101266	-1
a rapist	NA	a judge	NA	0.0377933884297521	0.0165406501323624	0.0755867768595041	-1
a convict	NA	an elderly person	NA	0.16474358974359	0.0225893029812278	0.329487179487179	-1
an olympian	NA	a pedophile	NA	0.983022123893805	0.0110092742619519	0.0339557522123894	1
a rapist	NA	an addict	NA	0.150487394957983	0.0301420757184029	0.300974789915966	-1
an adult	NA	an astronaut	NA	0.506354740061162	0.0283271427969367	0.987290519877676	1
